bus_no,bus_name,bus_type,departing_time,duration,reaching_time,star_rating,price,seat_availability
1,KSRTC (Kerala) - 1585,Swift Deluxe Non AC Air Bus (2+2),20:40,09h 30m,06:10,3.2,640,15
1,KSRTC (Kerala) - 2133,Swift Deluxe Non AC Air Bus (2+2),22:10,09h 25m,07:35,4.3,640,13
1,KSRTC (Kerala) - 583,Super Express Non AC Seater Air Bus (2+2),23:30,10h 20m,09:50,3.5,469,7
1,Kyros Connect,Bharat Benz A/C Semi Sleeper (2+2),23:00,10h 00m,09:00,4.1,599,26
1,SAAM BUS,VE A/C Sleeper (2+1),21:45,09h 00m,06:45,4.1,786,13
1,P K Travels,A/C Sleeper (2+1),18:45,11h 45m,06:30,4.1,900,18
1,AdSuraj Holidays,VE A/C Sleeper (2+1),22:30,09h 00m,07:30,3.6,800,18
1,NS Transports,Non A/C Seater / Sleeper (2+1),21:45,08h 25m,06:10,4.1,699,18
1,DLT BUS,A/C Sleeper (2+1),22:30,09h 00m,07:30,4.2,999,11
1,National travels and logistics,A/C Sleeper (2+1),22:45,08h 15m,07:00,4.2,749,16
1,AdMMK Travels,A/C Sleeper (2+1),23:00,08h 30m,07:30,4.1,849,9
1,NS Transports,Non A/C Seater / Sleeper (2+1),22:15,08h 15m,06:30,4.3,700,12
1,NS Transports,VE A/C Sleeper (2+1),22:45,08h 45m,07:30,4.0,900,18
1,SKS Tours & Travels,A/C Sleeper (2+1),21:15,08h 30m,05:45,4.4,799,18
1,A1 Travels,A/C Seater / Sleeper (2+1),21:45,09h 15m,07:00,3.0,550,24
1,DA Transports,A/C Sleeper (2+1),21:45,09h 10m,06:55,3.9,699,24
1,Suraj Holidays,NON AC Seater / Sleeper 2+1,20:30,09h 30m,06:00,3.4,650,17
1,P K Travels,Non A/C Seater / Sleeper (2+1),18:45,10h 30m,05:15,3.5,700,22
1,Kallada Travels (Suresh Kallada),A/C Sleeper (2+1),22:00,09h 05m,07:05,3.3,699,7
1,P K Travels,A/C Seater / Sleeper (2+1),21:30,08h 30m,06:00,3.9,800,35
1,National travels and logistics,NON A/C Sleeper (2+1),22:30,07h 45m,06:15,3.7,599,13
1,SKS Tourist Corporation (REGD),A/C Sleeper (2+1),21:00,08h 30m,05:30,3.6,899,20
1,Kalpaka Travels,NON A/C Semi Sleeper (2+2),22:00,08h 30m,06:30,3.2,700,25
