s_type,departinbus_no,bus_name,bug_time,duration,reaching_time,star_rating,price,seat_availability
1,KSRTC (Kerala) - 51,Swift Deluxe Non AC Air Bus (2+2),19:00,09h 30m,04:30,3.8,640,10
1,KSRTC (Kerala) - 789,Super Fast Non AC Seater (2+3),20:00,07h 45m,03:45,3.7,473,15
1,KSRTC (Kerala) - 1585,Super Express Non AC Seater Air Bus (2+2),20:40,09h 30m,06:10,3.4,640,21
1,KSRTC (Kerala) - 1586,Super Express Non AC Seater Air Bus (2+2),21:30,09h 25m,06:55,3.5,640,16
1,KSRTC (Kerala) - 2133,Swift Deluxe Non AC Air Bus (2+2),22:10,09h 25m,07:35,4.2,640,14
1,KSRTC (Kerala) - 2063,SWIFT-GARUDA A/C SEATER BUS,22:30,08h 00m,06:30,4.1,627,2
1,KSRTC (Kerala) - 574,Super Express Non AC Seater Air Bus (2+2),23:00,10h 40m,09:40,2.9,469,11
1,KSRTC (Kerala) - 583,Super Express Non AC Seater Air Bus (2+2),23:30,10h 20m,09:50,3.5,469,12
1,KSRTC (Kerala) - 56,SWIFT-GARUDA A/C SEATER BUS,23:40,10h 20m,10:00,3.4,627,23
1,P K Travels,A/C Sleeper (2+1),18:45,11h 45m,06:30,4.1,950,14
1,Kyros Connect,Bharat Benz A/C Semi Sleeper (2+2),23:00,10h 00m,09:00,4.1,799,32
1,NS Transports,Non A/C Seater / Sleeper (2+1),22:15,08h 15m,06:30,4.3,647,6
1,AdFAST LINE BUS,A/C Sleeper (2+1),21:15,09h 00m,06:15,3.8,2429,34
1,DLT BUS,A/C Sleeper (2+1),22:30,09h 00m,07:30,4.2,900,1
1,National travels and logistics,A/C Sleeper (2+1),22:45,08h 15m,07:00,4.2,799,5
1,SAAM BUS,VE A/C Sleeper (2+1),21:45,09h 00m,06:45,4.2,800,1
1,AdSuraj Holidays,NON AC Seater / Sleeper 2+1,20:30,09h 30m,06:00,3.4,650,12
1,MMK Travels,A/C Seater / Sleeper (2+1),22:30,09h 00m,07:30,4.6,750,1
1,SKS Tours & Travels,A/C Sleeper (2+1),21:15,08h 30m,05:45,4.4,899,7
1,NS Transports,VE A/C Sleeper (2+1),22:45,08h 45m,07:30,4.0,878,7
1,NS Transports,Non A/C Seater / Sleeper (2+1),21:45,08h 25m,06:10,4.0,647,7
1,Kallada Travels (Suresh Kallada),A/C Sleeper (2+1),22:00,09h 05m,07:05,3.4,800,15
1,DA Transports,A/C Sleeper (2+1),21:45,09h 10m,06:55,3.9,849,14
1,P K Travels,A/C Seater / Sleeper (2+1),21:30,08h 30m,06:00,3.9,750,37
1,Suraj Holidays,VE A/C Sleeper (2+1),22:30,09h 00m,07:30,3.6,880,8
1,National travels and logistics,NON A/C Sleeper (2+1),22:30,07h 45m,06:15,3.8,849,1
1,P K Travels,Non A/C Seater / Sleeper (2+1),18:45,10h 30m,05:15,3.5,650,16
1,SKS Tourist Corporation (REGD),A/C Sleeper (2+1),21:00,08h 30m,05:30,3.6,899,10
1,Kalpaka Travels,NON A/C Semi Sleeper (2+2),22:00,08h 30m,06:30,3.2,700,22
1,A1 Travels,Non A/C Seater / Sleeper (2+1),21:00,09h 45m,06:45,2.7,600,15
1,A1 Travels,A/C Seater / Sleeper (2+1),22:30,08h 00m,06:30,2.7,700,16
2,A1 Travels,A/C Seater / Sleeper (2+1),20:05,03h 54m,23:59,3.5,800,1
2,UFO Bus,Volvo Multi-Axle B9R A/c Semi Sleeper (2+2),23:55,05h 35m,05:30,4.1,810,4
2,Sona Travels,Volvo Multi-Axle B9R A/c Semi Sleeper (2+2),23:59,05h 31m,05:30,3.1,850,23
2,UFO Bus,Volvo Multi-Axle B9R A/c Semi Sleeper (2+2),00:20,05h 10m,05:30,4.8,800,5
2,UFO Bus,A/C Seater Push Back (2+2),00:20,05h 10m,05:30,4.4,749,2
2,EMERALD TRAVELS,Volvo AC Seater Pushback 2+2,00:30,05h 35m,06:05,3.2,650,3
2,Blue Bird Travels,A/C Seater Push Back (2+2),21:40,04h 19m,01:59,2.1,899,4
2,Kalpaka Travels 1,A/C Semi Sleeper (2+2),23:59,05h 01m,05:00,2.6,700,3
2,Arya Travels,A/C Seater/Sleeper (2+1),23:59,05h 31m,05:30,2.3,795,4
2,Madhavi Travels,A/C Sleeper (2+1),22:20,04h 15m,02:35,4.0,1699,2
2,BLM Transports,A/C Sleeper (2+1),22:00,04h 45m,02:45,3.5,1746,4
2,A1 Travels,Bharat Benz A/C Sleeper (2+1),23:30,03h 45m,03:15,5.0,1400,2
2,Madhavi Travels,Volvo Multi-Axle I-Shift B11R Semi Sleeper (2+2),23:30,03h 40m,03:10,4.0,1299,49
2,Galaxy Tours,2+1 Air Suspension A/C Seater / Sleeper,21:45,04h 15m,02:00,1.9,1200,1
2,Aadithya Travels,A/C Seater/Sleeper (2+1),23:30,05h 00m,04:30,2.5,1350,7
3,DLT BUS,A/C Sleeper (2+1),21:45,08h 45m,06:30,4.4,1399,12
3,MMK Travels,A/C Seater / Sleeper (2+1),21:30,08h 30m,06:00,4.4,999,5
3,CHANCHALAS TOURS AND TRAVELS,A/C Semi Sleeper (2+2),19:50,09h 45m,05:35,4.2,1161,14
3,AdFAST LINE BUS,A/C Sleeper (2+1),21:15,09h 00m,06:15,3.9,1169,8
3,P K Travels,A/C Seater / Sleeper (2+1),21:45,09h 00m,06:45,4.2,1200,10
3,National travels and logistics,A/C Sleeper (2+1),21:00,09h 15m,06:15,4.3,1250,9
3,MMK Travels,A/C Sleeper (2+1),21:00,08h 30m,05:30,4.4,1349,5
3,SKS Tours & Travels,A/C Sleeper (2+1),21:00,09h 00m,06:00,4.3,1299,10
3,P K Travels,Non A/C Seater / Sleeper (2+1),21:00,09h 00m,06:00,4.0,1300,2
3,SAAM BUS,VE A/C Sleeper (2+1),20:30,09h 45m,06:15,4.3,1200,1
3,SAAM BUS,VE A/C Sleeper (2+1),21:00,08h 45m,05:45,4.3,1100,6
3,NS Transports,VE A/C Sleeper (2+1),21:16,09h 14m,06:30,4.0,1248,2
3,P K Travels,A/C Sleeper (2+1),20:00,10h 00m,06:00,4.1,1500,6
3,Suraj Holidays,VE A/C Sleeper (2+1),22:00,09h 15m,07:15,3.3,1160,11
3,Sam Tourist,NON AC Seater / Sleeper 2+1,21:00,09h 30m,06:30,3.2,854,5
3,Kallada Travels (Suresh Kallada),A/C Sleeper (2+1),21:10,10h 05m,07:15,3.2,1400,13
3,NS Transports,Non A/C Seater / Sleeper (2+1),20:31,09h 59m,06:30,3.3,999,3
3,National travels and logistics,NON A/C Sleeper (2+1),20:45,09h 30m,06:15,3.7,1090,5
3,DA Transports,A/C Sleeper (2+1),21:50,08h 55m,06:45,3.6,1249,4
3,Suraj Holidays,NON AC Seater / Sleeper 2+1,21:15,09h 00m,06:15,3.1,1000,14
3,NS Transports,Non A/C Seater / Sleeper (2+1),19:31,08h 59m,04:30,3.5,999,3
3,SKS Tourist Corporation (REGD),A/C Sleeper (2+1),21:30,09h 00m,06:30,3.4,1399,2
3,Usha Transport,NON A/C Sleeper (2+1),22:01,09h 44m,07:45,2.2,900,11
3,A1 Travels,A/C Seater / Sleeper (2+1),22:30,08h 00m,06:30,2.5,1000,14
3,A1 Travels,A/C Seater / Sleeper (2+1),20:00,09h 30m,05:30,2.2,900,10
3,A1 Travels,Non A/C Seater / Sleeper (2+1),21:45,08h 45m,06:30,2.9,1200,1
lidays,Non A/C Seater / Sleeper (2+1),20:15,08h 55m,05:10,1.4,1250,1
3,DA Transports,A/C Sleeper (2+1),22:01,09h 44m,07:45,2.6,1299,43,Suraj Ho
3,Suraj Holidays,NON AC Seater / Sleeper 2+1,20:15,09h 40m,05:55,2.5,1110,5
4,KSRTC (Kerala) - 2569,Super Fast Non AC Seater (2+3),18:00,06h 35m,00:35,2.7,261,39
4,KSRTC (Kerala) - 2517,Swift Deluxe Non AC Air Bus (2+2),18:36,04h 40m,23:16,3.0,401,5
4,KSRTC (Kerala) - 915,Super Fast Non AC Seater (2+3),21:35,05h 35m,03:10,2.8,261,26
4,KSRTC (Kerala) - 352,Super Fast Non AC Seater (2+3),21:46,05h 24m,03:10,3.8,269,7
4,KSRTC (Kerala) - 1028,Super Fast Non AC Seater (2+3),22:10,05h 20m,03:30,2.8,269,4
4,KSRTC (Kerala) - 368,AC MULTI AXLE,22:25,04h 40m,03:05,2.5,750,8
4,KSRTC (Kerala) - 697,Super Fast Non AC Seater (2+3),22:34,05h 01m,03:35,4.4,231,17
4,KSRTC (Kerala) - 667,Super Fast Non AC Seater (2+3),22:35,03h 55m,02:30,3.2,230,2
4,Shajees Motors,A/C Semi Sleeper (2+2),19:30,05h 10m,00:40,3.0,600,3
4,Ubc travels,A/C Semi Sleeper (2+2),20:40,04h 20m,01:00,3.8,650,41
4,Kalpaka Travels 1,A/C Sleeper (2+1),20:55,05h 35m,02:30,4.6,800,1
4,Cochin Bus,Volvo Multi-Axle B9R A/c Semi Sleeper (2+2),21:15,05h 15m,02:30,,667,9
4,UFO Bus,A/C Sleeper (2+1),21:15,05h 30m,02:45,4.0,850,8
4,UFO Bus,Volvo Multi-Axle B9R A/c Semi Sleeper (2+2),21:30,05h 15m,02:45,4.4,675,12
4,Madhavi Travels,A/C Semi Sleeper (2+2),21:30,04h 45m,02:15,3.9,699,18
4,Cochin Bus,A/C Sleeper (2+1),21:30,05h 00m,02:30,,900,1
4,SG Travels,Bharat Benz A/C Sleeper (2+1),21:45,04h 45m,02:30,4.1,849,17
4,Sonia Travels,A/C Semi Sleeper (2+2),21:50,04h 55m,02:45,3.8,600,20
4,Kalpaka Travels 1,A/C Semi Sleeper (2+2),22:00,05h 00m,03:00,4.7,600,11
4,Surya Connect,Volvo A/C Semi Sleeper (2+2),22:00,04h 47m,02:47,4.7,500,17
4,Madhavi Travels,A/C Semi Sleeper (2+2),22:10,05h 25m,03:35,4.3,649,17
4,Madhavi Travels,A/C Semi Sleeper (2+2),22:10,05h 25m,03:35,3.9,599,11
4,Sonia Travels,A/C Seater/Sleeper (2+1),22:15,04h 14m,02:29,3.8,680,3
4,A1 Travels,Bharat Benz A/C Seater /Sleeper (2+1),23:59,05h 31m,05:30,3.8,800,4
4,EMERALD TRAVELS,A/C Semi Sleeper (2+2),00:40,03h 45m,04:25,3.4,650,11
